file_name,no loop transformation,loop tiling,loop interchange,loop skewing,loop fusion,loop distribution,loop reverse,loop shifting,other loop transformation
160198,0,1,0,1,1,0,0,0,1
205665,0,1,0,1,1,0,0,0,1
45946,0,0,0,0,1,0,0,0,1
232830,0,1,1,0,1,0,0,0,1
108012,0,0,0,0,1,0,0,0,1
188213,0,1,0,1,1,0,0,0,1
90195,0,1,1,1,1,0,0,0,1
146785,0,0,0,0,1,0,0,0,1
156347,0,1,1,1,1,0,0,0,1
5297,0,1,1,1,1,0,0,0,1
82310,0,1,1,1,1,0,0,0,1
134798,0,0,0,0,1,0,0,0,1
194778,0,0,0,0,1,0,0,0,1
234782,0,1,0,1,1,0,0,0,1
154165,0,1,0,1,1,0,0,0,1
110305,0,1,1,0,1,0,0,0,1
163991,0,1,1,0,1,0,0,0,1
158717,0,1,1,1,1,0,0,0,1
78536,0,0,0,0,1,0,0,0,1
183322,0,1,1,1,1,0,0,0,1
215690,0,0,0,1,1,0,0,0,1
8019,0,1,1,0,1,0,0,0,1
97696,0,0,0,0,1,0,0,0,1
43013,0,0,0,1,1,0,0,0,1
47418,0,1,1,1,1,0,0,0,1
69632,0,1,1,1,1,0,0,0,1
150546,0,0,0,0,1,0,0,0,1
240002,0,0,0,0,1,0,0,0,1
72748,0,1,1,1,1,0,0,0,1
31601,0,1,0,1,1,0,0,0,1
166105,0,0,0,0,1,0,0,0,1
178893,0,1,0,1,1,0,0,0,0
32786,0,1,1,1,1,0,0,0,1
79567,0,0,0,0,1,0,0,0,1
177784,0,1,1,0,1,0,0,0,1
78340,0,0,0,0,1,0,0,0,1
191612,0,0,0,0,1,0,0,0,1
152044,0,1,1,0,1,0,0,0,1
192216,0,0,0,0,1,0,0,0,1
242118,0,0,0,0,1,0,0,0,1
249022,0,0,0,0,1,0,0,0,1
67907,0,1,1,0,1,0,0,0,1
57739,0,0,0,0,1,0,0,0,1
31210,0,1,0,1,1,0,0,0,1
206943,0,1,0,1,1,0,0,0,1
233032,0,0,0,0,1,0,0,0,1
194040,0,0,0,0,1,0,0,0,1
133126,0,1,0,0,1,0,0,0,1
226043,0,1,1,1,1,0,0,0,1
179201,0,1,1,0,1,0,0,0,1
234376,0,0,0,0,1,0,0,0,1
103363,0,0,0,0,1,0,0,0,1
68338,0,0,0,0,1,0,0,0,1
235203,0,1,1,0,1,0,0,0,1
185756,0,0,0,0,1,0,0,0,1
181499,0,1,0,1,1,0,0,0,1
125486,0,1,1,1,1,0,0,0,1
55794,0,1,0,0,1,0,0,0,1
18518,0,1,0,1,1,0,0,0,1
204762,0,1,1,0,1,0,0,0,1
162718,0,1,1,1,1,0,0,0,1
6760,0,1,0,1,1,0,0,0,1
141211,0,0,0,0,1,0,0,0,1
170616,0,0,0,0,1,0,0,0,1
32160,0,1,1,1,1,0,0,0,1
133847,0,0,0,0,1,0,0,0,1
225850,0,1,0,1,1,0,0,0,1
44041,0,0,0,0,1,0,0,0,1
77506,0,1,0,1,1,0,0,0,1
99504,0,1,1,1,1,0,0,0,1
155381,0,1,0,1,1,0,0,0,1
162640,0,1,1,0,1,0,0,0,1
3879,0,1,1,0,1,0,0,0,1
27533,0,0,0,0,1,0,0,0,1
191091,0,1,1,1,1,0,0,0,1
87628,0,1,1,1,1,0,0,0,1
161971,0,1,0,1,1,0,0,0,1
118073,0,1,1,1,1,0,0,0,1
38131,0,1,1,0,1,0,0,0,1
158889,0,0,0,0,1,0,0,0,1
171999,0,1,1,1,1,0,0,0,1
117987,0,1,1,1,1,0,0,0,1
158755,0,1,1,1,1,0,0,0,1
207920,0,1,1,1,1,0,0,0,1
226244,0,1,1,0,1,0,0,0,1
17975,0,0,0,0,1,0,0,0,1
141543,0,1,1,1,1,0,0,0,1
44521,0,1,1,1,1,0,0,0,1
105486,0,1,1,1,1,0,0,0,1
7587,0,1,0,1,1,0,0,0,1
141698,0,0,0,0,1,0,0,0,1
175023,0,1,0,0,1,0,0,0,1
20194,0,1,1,1,1,0,0,0,1
222537,0,1,0,1,1,0,0,0,1
43976,0,0,0,0,1,0,0,0,1
64911,0,0,0,0,1,0,0,0,1
235139,0,0,0,0,1,0,0,0,1
195228,0,1,1,0,1,0,0,0,1
122360,0,0,0,0,1,0,0,0,1
167824,0,1,1,0,1,0,0,0,1
32931,0,0,0,0,1,0,0,0,1
147378,0,0,0,0,1,0,0,0,1
119793,0,1,0,1,1,0,0,0,1
169771,0,1,1,0,1,0,0,0,1
69246,0,1,1,1,1,0,0,0,1
206865,0,1,1,1,1,0,0,0,1
70046,0,1,1,1,1,0,0,0,1
228125,0,1,1,0,1,0,0,0,1
146111,0,1,0,1,1,0,0,0,1
69473,0,1,1,1,1,0,0,0,1
181221,0,1,0,1,1,0,0,0,1
73826,0,1,1,1,1,0,0,0,1
53910,0,1,1,1,1,0,0,0,1
130516,0,1,1,1,1,0,0,0,1
67667,0,1,1,0,1,0,0,0,1
208569,0,1,1,1,1,0,0,0,1
105408,0,1,1,1,1,0,0,0,1
219848,0,0,0,0,1,0,0,0,1
182721,0,0,0,0,1,0,0,0,1
74914,0,1,1,0,1,0,0,0,1
121288,0,1,1,1,1,0,0,0,1
