,file_name,no loop transformation,loop tiling,loop interchange,loop skewing,loop fusion,loop distribution,loop reverse,loop shifting,other loop transformation
0,3328412226_33,0,1,1,0,1,0,0,1,1
1,3414322226_94,0,1,1,0,1,0,0,1,1
2,3314312326_58,0,1,0,0,1,0,0,0,1
3,3518412328_94,0,1,0,0,1,1,0,0,0
4,3318312226_20,0,1,1,0,1,0,0,1,1
5,3516322228_64,0,1,0,0,1,1,0,0,0
6,3518422226_28,0,1,1,1,1,0,0,0,1
7,3328322226_99,0,1,1,1,1,0,0,1,1
8,3328322328_04,0,1,1,0,1,1,0,0,1
9,3314312224_17,0,1,1,0,1,0,0,0,1
10,3418312224_14,0,1,1,0,1,0,0,1,1
11,3518412328_03,0,1,0,1,0,1,0,0,0
12,3314412226_71,0,1,0,0,1,1,0,0,1
13,3528322328_14,0,1,1,1,0,1,0,0,1
14,3516322324_64,0,1,0,0,0,1,0,0,1
15,3516412326_82,0,1,1,1,1,0,0,1,1
16,3518412324_37,0,1,0,0,0,1,0,1,1
17,3326422224_67,0,1,1,0,1,0,0,1,1
18,3426312226_40,0,1,1,0,1,0,0,1,1
19,3326322228_15,0,1,1,0,1,0,0,0,1
20,3326322224_12,0,1,1,0,1,0,0,0,1
21,3516322326_52,0,1,1,0,0,1,0,1,1
22,3518312228_22,0,1,1,0,1,1,0,0,1
23,3418322326_65,0,1,1,0,1,1,0,0,0
24,3318312324_96,0,0,0,0,1,0,0,0,1
25,3528312324_19,0,1,1,0,1,0,0,1,1
26,3518422324_14,0,1,1,0,1,1,0,0,0
27,3326322326_02,0,1,1,0,1,0,0,0,1
28,3324412226_80,0,1,0,0,0,1,0,0,0
29,3416412226_19,0,1,0,0,1,1,0,0,1
30,3416322226_46,0,1,1,0,1,0,0,0,1
31,3424322224_87,0,0,0,0,1,0,0,0,1
32,3518322228_35,0,1,1,1,1,0,0,0,1
33,3524322324_32,0,1,1,0,1,0,0,0,1
34,3328322228_79,0,1,1,0,1,0,0,0,1
35,3516322326_81,0,1,0,1,1,1,0,1,1
36,3426322328_05,0,1,1,0,1,0,0,1,1
37,3418422224_36,0,1,1,0,1,0,0,1,1
38,3416322328_61,0,1,1,1,1,1,0,1,1
39,3518312226_00,0,1,1,0,1,0,0,0,1
40,3418422328_19,0,1,0,0,0,0,0,0,1
41,3514412326_51,0,1,1,0,1,1,0,0,0
42,3516312326_05,0,1,1,1,1,1,0,0,1
43,3424422226_55,0,1,1,1,1,0,0,0,1
44,3518312228_10,0,1,1,0,1,1,0,1,1
45,3426422328_19,0,1,1,0,1,0,0,0,1
46,3418412328_85,0,1,1,1,0,1,0,0,0
47,3328422324_61,0,1,1,0,1,0,0,0,1
48,3326312226_89,0,0,0,0,1,0,0,0,1
49,3524422224_14,0,1,1,0,1,0,0,0,1
50,3316322324_53,0,1,0,1,0,1,0,0,0
51,3516312328_52,0,1,0,0,0,1,0,0,1
52,3416322224_19,0,1,1,0,0,1,0,0,0
53,3326322228_33,0,1,1,0,1,1,0,0,1
54,3518312328_48,0,1,1,1,0,1,0,0,0
55,3324422328_04,0,1,1,0,1,0,0,0,1
56,3518422226_51,0,1,1,1,1,1,0,0,1
57,3516422224_34,0,1,1,0,1,1,0,0,1
58,3326312224_38,0,1,1,1,0,1,0,0,0
59,3416322224_58,0,1,0,0,1,1,0,1,1
60,3414422224_42,0,1,1,0,1,0,0,1,1
61,3518312328_17,0,1,1,0,1,1,0,0,0
62,3328412324_72,0,1,0,1,1,0,0,0,1
63,3524412226_35,0,1,1,0,0,1,0,0,0
64,3416312228_86,0,1,0,0,0,0,0,0,1
65,3516412324_26,0,1,0,0,0,0,0,0,1
66,3426422224_86,0,1,0,1,1,1,0,1,1
67,3324422224_14,0,1,0,0,1,0,0,0,1
68,3524322228_09,0,1,1,1,1,0,0,1,1
69,3314412326_92,0,1,1,0,1,0,0,0,1
70,3514412328_84,0,1,1,1,1,0,0,0,1
71,3528422228_55,0,1,1,0,1,1,0,1,1
72,3518322226_79,0,1,1,0,1,0,0,1,1
73,3326322224_54,0,1,1,0,1,1,0,0,0
74,3518412228_23,0,1,0,0,1,1,0,0,1
75,3518322224_74,0,1,1,0,1,0,0,0,1
76,3328422328_91,0,1,1,1,1,0,0,0,1
77,3316312226_95,0,1,1,1,1,0,0,0,1
78,3516322324_85,0,1,0,1,1,1,0,1,1
79,3318312324_95,0,0,0,0,0,1,0,0,0
80,3516322328_72,0,1,0,0,0,0,0,0,1
81,3516312226_34,0,1,1,0,1,0,0,0,1
82,3328322224_64,0,1,0,1,1,0,0,0,1
83,3326412328_20,0,1,1,1,1,0,0,0,1
84,3414412226_59,0,1,1,1,1,0,0,0,1
85,3428322328_79,0,1,1,0,1,0,0,0,1
86,3418422326_86,0,1,1,0,0,1,0,0,1
87,3526412228_43,0,1,1,0,1,0,0,0,1
88,3328322328_29,0,1,0,0,1,0,0,0,1
89,3418422224_38,0,1,0,0,1,0,0,0,1
90,3518412326_63,0,1,0,0,1,1,0,1,1
91,3416412326_55,0,1,1,0,1,0,0,0,1
